MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          SoilIndex   
5.93        64.03       0.9995      0.1636      1.425       69.35       17.34       0.009338    0.7369      0.01677     1.007       1           
0.05406     79.07       0.9565      0.4588      1.417       47.96       11.99       0.006132    0.6477      1.896       0.8021      1           
4.922       54.63       0.9922      0.2926      1.269       40          10          0.009755    0.6912      0.005441    0.5713      1           
0.8373      49.91       0.9877      0.2827      2.054       58.5        14.63       0.00523     0.8447      1.032       0.7073      1           
7.639       62.99       0.9745      0.3432      1.326       76.87       19.22       0.006439    0.771       0.2558      0.773       1           
4.107       36.9        0.9806      0.3931      1.287       45.5        11.37       0.005398    0.7884      0.7179      0.6304      1           
0.5072      36.87       0.9736      0.4693      1.419       57.09       14.27       0.01028     0.7245      0.9286      0.1406      1           
0.5001      49.61       0.9987      0.2238      1.517       88.56       22.14       0.004618    0.7822      0.4069      0.06611     1           
1.697       63.86       0.9508      0.1829      1.458       60.49       15.12       0.01012     0.6473      0.2573      0.06883     1           
5.105       38.64       0.9758      0.1455      1.681       89.77       22.44       0.004717    0.8295      1.065       0.7442      1           
6.742       51.83       0.9838      0.3058      1.846       75.99       19          0.006495    0.7727      1.084       0.4919      1           
2.481       43.02       0.987       0.1169      1.304       56.18       14.05       0.005965    0.6726      1.409       0.9744      1           
1.077       70.2        0.9718      0.2141      1.587       61.91       15.48       0.007232    0.7273      1.674       0.4054      1           
4.939       41.6        0.9581      0.337       1.48        37.55       9.387       0.008181    0.6907      0.5998      0.9391      1           
2.653       72.4        0.9643      0.4225      1.923       64.01       16          0.005748    0.7845      1.636       0.1744      1           
3.813       55.01       0.9578      0.1674      1.302       75.7        18.93       0.01078     0.6979      1.064       0.8778      1           
13.98       56.83       0.9894      0.2476      1.381       51.09       12.77       0.007335    0.699       0.007809    0.7721      1           
1.529       53.58       0.9777      0.1936      1.683       48.82       12.2        0.009905    0.7597      1.172       1.008       1           
0.5501      63.8        0.9534      0.1637      2.14        58.75       14.69       0.004056    0.6856      1.088       0.7644      1           
10.37       60.05       0.9685      0.1989      1.651       69.74       17.44       0.009838    0.7499      0.6256      0.4771      1           
1.023       40.8        0.958       0.1941      1.605       31.15       7.786       0.007218    0.7248      1.23        0.9869      1           
7.857       51.82       0.9955      0.1973      1.926       89.25       22.31       0.007959    0.7734      1.032       0.382       1           
4.145       64.25       0.9548      0.351       1.895       85.79       21.45       0.009362    0.7277      0.9456      1.022       1           
1.112       69.17       0.9817      0.4529      1.903       28.32       7.081       0.006562    0.6376      0.8078      0.1709      1           
13.72       61.15       0.9595      0.4922      1.47        82.18       20.54       0.006134    0.7056      0.3242      0.6017      1           
1.068       77.04       0.9621      0.3482      1.265       88.34       22.08       0.007281    0.6915      0.2991      0.9641      1           
0.8144      41.07       0.9547      0.4404      1.968       53.32       13.33       0.008724    0.6783      1.024       0.581       1           
0.9856      74.53       0.9721      0.4581      1.672       26.1        6.525       0.007385    0.6267      0.6437      0.8681      1           
0.5404      64.42       0.967       0.3344      2.147       72.19       18.05       0.003443    0.6752      1.924       0.04782     1           
3.1         37.24       0.9871      0.1476      1.577       36.45       9.112       0.008997    0.6673      0.6745      0.5246      1           
3.239       42.76       0.9581      0.3285      1.737       62.03       15.51       0.004042    0.6426      1.008       0.4285      1           
0.09431     59.71       0.9883      0.439       2.022       45.5        11.38       0.004938    0.6205      0.1683      0.4258      1           
0.1101      45.07       0.961       0.3737      1.351       21.05       5.262       0.004654    0.6774      1.118       0.7744      1           
1.616       57.87       0.9621      0.3019      1.337       65.57       16.39       0.00693     0.6253      0.8963      0.5666      1           
12.12       57.03       0.9606      0.3194      1.874       78.82       19.7        0.01079     0.747       0.2332      1.002       1           
1.071       33.33       0.9905      0.338       2.014       78.39       19.6        0.00699     0.7288      1.484       0.2321      1           
0.3906      66.46       0.9729      0.1582      1.9         82.09       20.52       0.00872     0.7458      1.626       0.6853      1           
4.953       69.63       0.9834      0.1505      1.657       44.45       11.11       0.01075     0.8102      1.151       0.6902      1           
0.2414      41.8        0.96        0.403       1.896       87.21       21.8        0.005274    0.709       1.24        0.07887     1           
7.151       56.48       0.9988      0.34        1.52        59.05       14.76       0.005322    0.7656      0.7475      0.8038      1           
12.8        59.77       0.9732      0.1304      1.671       67.33       16.83       0.004966    0.7396      0.18        0.521       1           
3.827       61          0.9603      0.1608      1.439       46.33       11.58       0.008058    0.6693      0.6574      0.2619      1           
